Date,Volume,Open,High,Low,Close,ema_20,rsi_14,bb_bbm,bb_bbh,bb_bbl
13/05/2023 08:15:00 +00:00,153.45,26812.36,26812.37,26746.53,26758.93,26767.2,49.56,26778.26,26857.78,26698.75
13/05/2023 08:30:00 +00:00,151.73,26758.94,26774.0,26753.27,26771.89,26767.65,51.51,26774.13,26845.51,26702.75
13/05/2023 08:45:00 +00:00,244.03,26771.88,26813.49,26766.51,26799.73,26770.7,55.47,26773.7,26844.35,26703.04
13/05/2023 09:00:00 +00:00,136.48,26799.74,26817.46,26790.04,26790.05,26772.55,53.82,26771.78,26838.35,26705.21
13/05/2023 09:15:00 +00:00,129.01,26790.04,26820.0,26790.0,26805.69,26775.7,56.09,26770.66,26834.1,26707.23
13/05/2023 09:30:00 +00:00,172.77,26805.7,26836.64,26801.88,26807.12,26778.69,56.3,26770.93,26834.93,26706.93
13/05/2023 09:45:00 +00:00,196.24,26807.12,26849.81,26805.22,26842.05,26784.73,61.22,26773.15,26843.46,26702.83
13/05/2023 10:00:00 +00:00,295.43,26842.05,26877.0,26776.42,26808.24,26786.97,54.79,26772.78,26842.27,26703.28
13/05/2023 10:15:00 +00:00,157.37,26808.24,26808.25,26765.61,26791.87,26787.43,51.95,26771.48,26838.5,26704.47
13/05/2023 10:30:00 +00:00,125.76,26791.87,26812.26,26791.87,26810.97,26789.68,54.89,26773.82,26842.89,26704.75
13/05/2023 10:45:00 +00:00,176.45,26810.96,26842.75,26800.0,26830.69,26793.58,57.77,26778.3,26849.87,26706.73
13/05/2023 11:00:00 +00:00,136.71,26830.68,26840.89,26825.0,26834.26,26797.46,58.28,26782.88,26856.44,26709.32
13/05/2023 11:15:00 +00:00,205.97,26834.26,26863.0,26816.75,26830.99,26800.65,57.59,26787.06,26861.58,26712.54
13/05/2023 11:30:00 +00:00,219.32,26830.99,26840.69,26807.47,26807.47,26801.3,52.71,26791.09,26860.71,26721.47
13/05/2023 11:45:00 +00:00,188.05,26807.48,26827.98,26796.92,26823.94,26803.46,55.55,26795.71,26861.05,26730.36
13/05/2023 12:00:00 +00:00,218.25,26823.93,26830.58,26763.51,26789.84,26802.16,48.99,26799.25,26854.49,26744.0
13/05/2023 12:15:00 +00:00,124.17,26789.84,26835.0,26789.83,26818.01,26803.67,53.84,26803.53,26849.92,26757.15
13/05/2023 12:30:00 +00:00,368.8,26818.01,26904.98,26809.88,26843.5,26807.46,57.75,26807.47,26853.37,26761.58
13/05/2023 12:45:00 +00:00,285.67,26843.51,26878.14,26778.58,26824.6,26809.09,54.09,26810.11,26853.52,26766.71
13/05/2023 13:00:00 +00:00,312.76,26824.6,26879.0,26807.41,26876.09,26815.47,61.29,26813.3,26865.38,26761.21
13/05/2023 13:15:00 +00:00,330.9,26876.1,26888.68,26823.04,26823.05,26816.2,52.21,26816.5,26862.33,26770.68
13/05/2023 13:30:00 +00:00,272.57,26823.04,26838.26,26789.21,26798.06,26814.47,48.55,26817.81,26859.8,26775.82
13/05/2023 13:45:00 +00:00,165.02,26798.06,26826.61,26782.58,26821.38,26815.13,51.93,26818.89,26860.07,26777.72
13/05/2023 14:00:00 +00:00,189.98,26821.38,26847.36,26799.9,26820.01,26815.59,51.72,26820.39,26859.38,26781.4
13/05/2023 14:15:00 +00:00,373.95,26820.0,26820.01,26736.0,26768.07,26811.07,44.24,26818.51,26863.35,26773.67
13/05/2023 14:30:00 +00:00,373.29,26768.06,26826.91,26762.45,26789.85,26809.05,47.66,26817.65,26863.97,26771.32
13/05/2023 14:45:00 +00:00,299.83,26789.85,26830.51,26762.46,26789.12,26807.15,47.55,26815.0,26861.49,26768.51
13/05/2023 15:00:00 +00:00,222.66,26789.12,26806.93,26760.69,26797.74,26806.25,48.99,26814.48,26861.49,26767.46
13/05/2023 15:15:00 +00:00,172.52,26797.73,26798.74,26767.54,26790.93,26804.79,47.87,26814.43,26861.54,26767.32
13/05/2023 15:30:00 +00:00,137.27,26790.93,26810.32,26785.0,26798.49,26804.19,49.25,26813.8,26861.41,26766.2
13/05/2023 15:45:00 +00:00,121.96,26798.5,26822.79,26790.0,26816.25,26805.34,52.43,26813.08,26860.08,26766.09
13/05/2023 16:00:00 +00:00,141.08,26816.25,26823.99,26802.34,26808.88,26805.68,51.0,26811.81,26857.81,26765.82
13/05/2023 16:15:00 +00:00,136.3,26808.88,26818.19,26785.0,26808.89,26805.98,51.0,26810.71,26855.86,26765.55
13/05/2023 16:30:00 +00:00,143.93,26808.9,26826.52,26782.29,26815.71,26806.91,52.4,26811.12,26856.3,26765.94
13/05/2023 16:45:00 +00:00,101.76,26815.7,26834.02,26795.94,26822.8,26808.42,53.86,26811.06,26856.18,26765.94
13/05/2023 17:00:00 +00:00,182.26,26822.8,26824.47,26792.53,26811.85,26808.75,51.24,26812.16,26856.22,26768.11
13/05/2023 17:15:00 +00:00,154.55,26811.86,26848.02,26811.85,26834.09,26811.16,55.94,26812.97,26858.0,26767.94
13/05/2023 17:30:00 +00:00,132.61,26834.09,26839.66,26807.19,26830.09,26812.97,54.91,26812.3,26855.86,26768.73
13/05/2023 17:45:00 +00:00,83.25,26830.09,26830.1,26800.0,26812.32,26812.9,50.49,26811.68,26854.88,26768.48
13/05/2023 18:00:00 +00:00,173.18,26812.31,26827.2,26792.01,26820.61,26813.64,52.41,26808.91,26840.87,26776.94
13/05/2023 18:15:00 +00:00,104.47,26820.6,26829.88,26811.1,26827.42,26814.95,54.0,26809.13,26841.53,26776.72
13/05/2023 18:30:00 +00:00,363.75,26827.43,26896.82,26827.42,26878.18,26820.97,63.69,26813.13,26856.89,26769.37
13/05/2023 18:45:00 +00:00,1393.83,26878.18,27045.45,26757.32,26785.0,26817.55,44.96,26811.32,26856.55,26766.08
13/05/2023 19:00:00 +00:00,600.86,26785.0,26887.2,26770.73,26879.81,26823.48,58.37,26814.3,26868.47,26760.14
13/05/2023 19:15:00 +00:00,410.77,26879.81,26958.13,26853.18,26908.16,26831.54,61.4,26821.31,26885.12,26757.5
13/05/2023 19:30:00 +00:00,286.5,26908.17,26908.17,26807.22,26808.65,26829.36,48.16,26822.25,26884.72,26759.78
13/05/2023 19:45:00 +00:00,198.04,26808.65,26855.09,26777.99,26837.94,26830.18,51.47,26824.69,26885.59,26763.79
13/05/2023 20:00:00 +00:00,201.6,26837.93,26883.6,26837.93,26852.81,26832.33,53.12,26827.44,26888.2,26766.69
13/05/2023 20:15:00 +00:00,179.06,26852.82,26886.13,26836.71,26872.53,26836.16,55.28,26831.52,26892.88,26770.17
13/05/2023 20:30:00 +00:00,168.03,26872.53,26884.87,26859.55,26875.99,26839.96,55.66,26835.4,26897.7,26773.1
13/05/2023 20:45:00 +00:00,0.06,26875.99,26876.0,26875.99,26875.99,26843.39,55.66,26838.39,26902.43,26774.34
