Date,Volume,Open,High,Low,Close
13/05/2023 08:45:00 +00:00,244.03,26771.88,26813.49,26766.51,26799.73
13/05/2023 09:00:00 +00:00,136.48,26799.74,26817.46,26790.04,26790.05
13/05/2023 09:15:00 +00:00,129.01,26790.04,26820.00,26790.00,26805.69
13/05/2023 09:30:00 +00:00,172.77,26805.70,26836.64,26801.88,26807.12
13/05/2023 09:45:00 +00:00,196.24,26807.12,26849.81,26805.22,26842.05
13/05/2023 10:00:00 +00:00,295.43,26842.05,26877.00,26776.42,26808.24
13/05/2023 10:15:00 +00:00,157.37,26808.24,26808.25,26765.61,26791.87
13/05/2023 10:30:00 +00:00,125.76,26791.87,26812.26,26791.87,26810.97
13/05/2023 10:45:00 +00:00,176.45,26810.96,26842.75,26800.00,26830.69
13/05/2023 11:00:00 +00:00,136.71,26830.68,26840.89,26825.00,26834.26
13/05/2023 11:15:00 +00:00,205.97,26834.26,26863.00,26816.75,26830.99
13/05/2023 11:30:00 +00:00,219.32,26830.99,26840.69,26807.47,26807.47
13/05/2023 11:45:00 +00:00,188.05,26807.48,26827.98,26796.92,26823.94
13/05/2023 12:00:00 +00:00,218.25,26823.93,26830.58,26763.51,26789.84
13/05/2023 12:15:00 +00:00,124.17,26789.84,26835.00,26789.83,26818.01
13/05/2023 12:30:00 +00:00,368.80,26818.01,26904.98,26809.88,26843.50
13/05/2023 12:45:00 +00:00,285.67,26843.51,26878.14,26778.58,26824.60
13/05/2023 13:00:00 +00:00,312.76,26824.60,26879.00,26807.41,26876.09
13/05/2023 13:15:00 +00:00,330.90,26876.10,26888.68,26823.04,26823.05
13/05/2023 13:30:00 +00:00,272.57,26823.04,26838.26,26789.21,26798.06
13/05/2023 13:45:00 +00:00,165.02,26798.06,26826.61,26782.58,26821.38
13/05/2023 14:00:00 +00:00,189.98,26821.38,26847.36,26799.90,26820.01
13/05/2023 14:15:00 +00:00,373.95,26820.00,26820.01,26736.00,26768.07
13/05/2023 14:30:00 +00:00,373.29,26768.06,26826.91,26762.45,26789.85
13/05/2023 14:45:00 +00:00,299.83,26789.85,26830.51,26762.46,26789.12
13/05/2023 15:00:00 +00:00,222.66,26789.12,26806.93,26760.69,26797.74
13/05/2023 15:15:00 +00:00,172.52,26797.73,26798.74,26767.54,26790.93
13/05/2023 15:30:00 +00:00,137.27,26790.93,26810.32,26785.00,26798.49
13/05/2023 15:45:00 +00:00,121.96,26798.50,26822.79,26790.00,26816.25
13/05/2023 16:00:00 +00:00,141.08,26816.25,26823.99,26802.34,26808.88
13/05/2023 16:15:00 +00:00,136.30,26808.88,26818.19,26785.00,26808.89
13/05/2023 16:30:00 +00:00,143.93,26808.90,26826.52,26782.29,26815.71
13/05/2023 16:45:00 +00:00,101.76,26815.70,26834.02,26795.94,26822.80
13/05/2023 17:00:00 +00:00,182.26,26822.80,26824.47,26792.53,26811.85
13/05/2023 17:15:00 +00:00,154.55,26811.86,26848.02,26811.85,26834.09
13/05/2023 17:30:00 +00:00,132.61,26834.09,26839.66,26807.19,26830.09
13/05/2023 17:45:00 +00:00,83.25,26830.09,26830.10,26800.00,26812.32
13/05/2023 18:00:00 +00:00,173.18,26812.31,26827.20,26792.01,26820.61
13/05/2023 18:15:00 +00:00,104.47,26820.60,26829.88,26811.10,26827.42
13/05/2023 18:30:00 +00:00,363.75,26827.43,26896.82,26827.42,26878.18
13/05/2023 18:45:00 +00:00,1393.83,26878.18,27045.45,26757.32,26785.00
13/05/2023 19:00:00 +00:00,600.86,26785.00,26887.20,26770.73,26879.81
13/05/2023 19:15:00 +00:00,410.77,26879.81,26958.13,26853.18,26908.16
13/05/2023 19:30:00 +00:00,286.50,26908.17,26908.17,26807.22,26808.65
13/05/2023 19:45:00 +00:00,198.04,26808.65,26855.09,26777.99,26837.94
13/05/2023 20:00:00 +00:00,201.60,26837.93,26883.60,26837.93,26852.81
13/05/2023 20:15:00 +00:00,179.06,26852.82,26886.13,26836.71,26872.53
13/05/2023 20:30:00 +00:00,168.03,26872.53,26884.87,26859.55,26875.99
13/05/2023 20:45:00 +00:00,116.91,26875.99,26905.33,26861.49,26895.36
